wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.14041251	0.9999996	1.4493775E-8	88299.9577459302	1.4041251E-5	4.00000000011502E-7	1.4493775E-8		5.822660592E-4	4.1353860595402E-4	8.52428210488419E-5	2129.33586014522		88299.9577459302	1.4493775E-8	2129.33586014522	8.52428210488419E-5		10.0371	-0.27769	0.98469
0.14089119	0.99999959	1.4666324E-8	87999.9572719913	1.4089119E-5	4.09999999950728E-7	1.4666324E-8		5.946520608E-4	4.48062944039057E-4	9.19645352858476E-5	2084.98394562362		87999.9572719913	1.4666324E-8	2084.98394562362	9.19645352858476E-5		10.03811	-0.27763	0.98463
0.14121213	0.99999959	1.4783238E-8	87799.9552871273	1.4121213E-5	4.09999999950728E-7	1.4783238E-8		6.070380624E-4	4.79331845236551E-4	9.88319850271222E-5	2042.44194358775		87799.9552871273	1.4783238E-8	2042.44194358775	9.88319850271222E-5		10.03911	-0.27757	0.98457
0.14169629	0.99999959	1.4960302E-8	87499.9528922035	1.4169629E-5	4.09999999950728E-7	1.4960302E-8		6.19424064E-4	5.09120508176819E-4	1.05634085658574E-4	2001.60128102482		87499.9528922035	1.4960302E-8	2001.60128102482	1.05634085658574E-4		10.04012	-0.2775	0.9845
0.1420209	0.99999959	1.5079522E-8	87299.9586680552	1.420209E-5	4.09999999950728E-7	1.5079522E-8		6.318100656E-4	5.38548474274693E-4	1.12748983923925E-4	1962.36189878137		87299.9586680552	1.5079522E-8	1962.36189878137	1.12748983923925E-4		10.04113	-0.27744	0.98444
0.14251063	0.99999959	1.5260088E-8	86999.9571260053	1.4251063E-5	4.09999999950728E-7	1.5260088E-8		6.441960672E-4	5.67100168104259E-4	1.20960459626805E-4	1924.63143308057		86999.9571260053	1.5260088E-8	1924.63143308057	1.20960459626805E-4		10.04213	-0.27738	0.98438
0.142839	0.99999958	1.5385725E-8	86799.9544942208	1.42839E-5	4.20000000000975E-7	1.5385725E-8		6.565820688E-4	5.94643966783753E-4	1.28599524358603E-4	1888.32448968031		86799.9544942208	1.5385725E-8	1888.32448968031	1.28599524358603E-4		10.04314	-0.27731	0.98431
0.14333439	0.99999958	1.5576057E-8	86499.9578956592	1.4333439E-5	4.20000000000975E-7	1.5576057E-8		6.689680704E-4	6.22947803954778E-4	1.3606291175342E-4	1853.36199866558		86499.9578956592	1.5576057E-8	1853.36199866558	1.3606291175342E-4		10.04415	-0.27725	0.98425
0.14366657	0.99999958	1.570503E-8	86299.9562111074	1.4366657E-5	4.20000000000975E-7	1.570503E-8		6.81354072E-4	6.51447476082017E-4	1.446820182573E-4	1819.67063961423		86299.9562111074	1.570503E-8	1819.67063961423	1.446820182573E-4		10.04516	-0.27719	0.98419
0.14416773	0.99999958	1.5900456E-8	85999.9578269007	1.4416773E-5	4.20000000000975E-7	1.5900456E-8		6.937400736E-4	6.79648395789107E-4	1.52683139748211E-4	1787.18232834114		85999.9578269007	1.5900456E-8	1787.18232834114	1.52683139748211E-4		10.04617	-0.27713	0.98413
