wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.13260348	0.99999964	1.180272E-8	93499.9496242482	1.3260348E-5	3.60000000032557E-7	1.180272E-8		3.71704032E-4	2.4179088793156E-4	1.01564050765052E-4	3335.55703802535		93499.9496242482	1.180272E-8	3335.55703802535	1.01564050765052E-4		10.02002	-0.27876	0.98576
0.13288773	0.99999964	1.189538E-8	93299.9510188036	1.3288773E-5	3.60000000032557E-7	1.189538E-8		3.840900336E-4	2.51175020209115E-4	1.127991363497E-4	3227.99315665451		93299.9510188036	1.189538E-8	3227.99315665451	1.127991363497E-4		10.02102	-0.2787	0.9857
0.1333164	0.99999964	1.203571E-8	92999.951243808	1.333164E-5	3.60000000032557E-7	1.203571E-8		3.964760352E-4	2.61292016829992E-4	1.18539286936231E-4	3127.14991556695		92999.951243808	1.203571E-8	3127.14991556695	1.18539286936231E-4		10.02203	-0.27864	0.98564
0.13374784	0.99999963	1.2179126E-8	92699.954631043	1.3374784E-5	3.69999999971782E-7	1.2179126E-8		4.088620368E-4	2.73708095277466E-4	1.30296915411601E-4	3032.41653273494		92699.954631043	1.2179126E-8	3032.41653273494	1.30296915411601E-4		10.02303	-0.27857	0.98557
0.13432746	0.99999963	1.2372812E-8	92299.9563901528	1.3432746E-5	3.69999999971782E-7	1.2372812E-8		4.212480384E-4	2.8305781097522E-4	1.43251410885397E-4	2943.25406169061		92299.9563901528	1.2372812E-8	2943.25406169061	1.43251410885397E-4		10.02403	-0.27851	0.98551
0.13491213	0.99999963	1.2569463E-8	91899.9551782334	1.3491213E-5	3.69999999971782E-7	1.2569463E-8		4.3363404E-4	2.88880685640359E-4	1.5564025954075E-4	2859.18513223731		91899.9551782334	1.2569463E-8	2859.18513223731	1.5564025954075E-4		10.02504	-0.27845	0.98545
0.13550191	0.99999962	1.2769039E-8	91499.9552404833	1.3550191E-5	3.80000000022029E-7	1.2769039E-8		4.460200416E-4	2.88100609641031E-4	1.66588027332693E-4	2779.78540056708		91499.9552404833	1.2769039E-8	2779.78540056708	1.66588027332693E-4		10.02604	-0.27838	0.98538
0.13594764	0.99999962	1.2922259E-8	91199.9553651685	1.3594764E-5	3.80000000022029E-7	1.2922259E-8		4.584060432E-4	2.94473073547398E-4	1.59703919839953E-4	2704.67638547048		91199.9553651685	1.2922259E-8	2704.67638547048	1.59703919839953E-4		10.02705	-0.27832	0.98532
0.13654653	0.99999962	1.312926E-8	90799.9544184682	1.3654653E-5	3.80000000022029E-7	1.312926E-8		4.707920448E-4	3.09837139593063E-4	1.70071766889146E-4	2633.51943537343		90799.9544184682	1.312926E-8	2633.51943537343	1.70071766889146E-4		10.02805	-0.27826	0.98526
0.13715072	0.99999961	1.3339477E-8	90399.9534235037	1.3715072E-5	3.89999999961255E-7	1.3339477E-8		4.831780464E-4	3.18931219530138E-4	1.82073524587987E-4	2566.01062328398		90399.9534235037	1.3339477E-8	2566.01062328398	1.82073524587987E-4		10.02906	-0.2782	0.9852
0.13776028	0.99999961	1.355287E-8	89999.9528165884	1.3776028E-5	3.89999999961255E-7	1.355287E-8		4.95564048E-4	3.21361637910315E-4	1.95109974934916E-4	2501.87640730548		89999.9528165884	1.355287E-8	2501.87640730548	1.95109974934916E-4		10.03006	-0.27813	0.98513
0.13806709	0.99999961	1.3660416E-8	89799.9566732376	1.3806709E-5	3.89999999961255E-7	1.3660416E-8		5.079500496E-4	3.18852398486783E-4	2.06420249058477E-4	2440.86992604164		89799.9566732376	1.3660416E-8	2440.86992604164	2.06420249058477E-4		10.03107	-0.27807	0.98507
0.13852989	0.99999961	1.3823262E-8	89499.9534035579	1.3852989E-5	3.89999999961255E-7	1.3823262E-8		5.203360512E-4	3.03243218472914E-4	2.1503706782984E-4	2382.76782310332		89499.9534035579	1.3823262E-8	2382.76782310332	2.1503706782984E-4		10.03207	-0.27801	0.98501
0.13884015	0.99999961	1.3932838E-8	89299.9517790783	1.3884015E-5	3.89999999961255E-7	1.3932838E-8		5.327220528E-4	2.74914272029499E-4	1.95101467192404E-4	2327.36751460423		89299.9517790783	1.3932838E-8	2327.36751460423	1.95101467192404E-4		10.03308	-0.27794	0.98494
0.13930815	0.9999996	1.4098893E-8	88999.9522640994	1.3930815E-5	4.00000000011502E-7	1.4098893E-8		5.451080544E-4	2.78938149138181E-4	1.6101787872856E-4	2274.48482918619		88999.9522640994	1.4098893E-8	2274.48482918619	1.6101787872856E-4		10.03408	-0.27788	0.98488
0.1396219	0.9999996	1.4210599E-8	88799.9568835548	1.396219E-5	4.00000000011502E-7	1.4210599E-8		5.57494056E-4	3.02196372818816E-4	8.8535347319512E-5	2223.95196263761		88799.9568835548	1.4210599E-8	2223.95196263761	8.8535347319512E-5		10.03509	-0.27782	0.98482
0.1400952	0.9999996	1.4379836E-8	88499.9536029786	1.400952E-5	4.00000000011502E-7	1.4379836E-8		5.698800576E-4	3.71581513396598E-4	7.88409071149959E-5	2175.61569924289		88499.9536029786	1.4379836E-8	2175.61569924289	7.88409071149959E-5		10.03609	-0.27775	0.98475
