energy_ev,selected_grazing_angle_deg,selected_efficiency,precise_fwhm_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
4360.000000,0.644454,0.65560659,0.06837766,0,0,not_needed,0,0,bragg,auto_sparse,4280.000000,0.672210,0,0,0,voigt,voigt,0,0.64445364,0.06376756
4370.000000,0.641302,0.65438458,0.06784413,0,0,not_needed,0,0,bragg,auto_sparse,4290.000000,0.668654,0,0,0,voigt,voigt,0,0.64130161,0.06369126
4380.000000,0.638011,0.65328325,0.06804796,0,0,not_needed,0,0,bragg,auto_sparse,4300.000000,0.665250,0,0,0,voigt,voigt,0,0.63801075,0.06345644
4390.000000,0.634803,0.65156821,0.06784669,0,0,not_needed,0,0,bragg,auto_sparse,4310.000000,0.661277,0,0,0,voigt,voigt,0,0.63480277,0.06403774
4400.000000,0.631996,0.64847948,0.06702366,0,0,not_needed,0,0,bragg,auto_sparse,4320.000000,0.658039,0,0,0,voigt,voigt,0,0.63199611,0.06121667
4410.000000,0.628687,0.64478263,0.06709012,0,0,not_needed,0,0,bragg,auto_sparse,4330.000000,0.655047,0,0,0,voigt,voigt,0,0.62868659,0.06170761
4420.000000,0.625376,0.63962648,0.06739990,0,0,not_needed,0,0,bragg,auto_sparse,4340.000000,0.651562,0,0,0,voigt,voigt,0,0.62537627,0.06262233
4430.000000,0.622732,0.63261034,0.06625192,0,0,not_needed,0,0,bragg,auto_sparse,4360.000000,0.644454,0,0,0,voigt,voigt,0,0.62273217,0.06109165
4440.000000,0.619657,0.62488537,0.06629556,0,0,not_needed,0,0,bragg,auto_sparse,4360.000000,0.644454,0,0,0,voigt,voigt,0,0.61965663,0.06050641
4450.000000,0.616169,0.61702685,0.06527168,0,0,not_needed,0,0,bragg,auto_sparse,4370.000000,0.641302,0,0,0,voigt,voigt,0,0.61616941,0.06197761
4460.000000,0.613944,0.60871811,0.06115191,0,0,not_needed,0,0,bragg,auto_sparse,4380.000000,0.638011,0,0,0,voigt,voigt,0,0.61394428,0.05782833
4470.000000,0.610671,0.60284375,0.06003032,0,0,not_needed,0,0,bragg,auto_sparse,4390.000000,0.634803,0,0,0,voigt,voigt,0,0.61067096,0.05818822
4480.000000,0.607785,0.59904019,0.05940886,0,0,not_needed,0,0,bragg,auto_sparse,4400.000000,0.631996,0,0,0,voigt,voigt,0,0.60778545,0.05734368
4490.000000,0.605431,0.59729450,0.05979969,0,0,not_needed,0,0,bragg,auto_sparse,4420.000000,0.625376,0,0,0,voigt,voigt,0,0.60543081,0.05430511
4500.000000,0.602413,0.59900047,0.06123290,0,0,not_needed,0,0,bragg,auto_sparse,4430.000000,0.622732,0,0,0,voigt,voigt,0,0.60241287,0.05495018
4510.000000,0.599561,0.60252029,0.06125701,0,0,not_needed,0,0,bragg,auto_sparse,4430.000000,0.622732,0,0,0,voigt,voigt,0,0.59956079,0.05535001
4520.000000,0.596656,0.60742474,0.06207892,0,0,not_needed,0,0,bragg,auto_sparse,4440.000000,0.619657,0,0,0,voigt,voigt,0,0.59665642,0.05640981
4530.000000,0.593415,0.61345894,0.06386689,0,0,not_needed,0,0,bragg,auto_sparse,4450.000000,0.616169,0,0,0,voigt,voigt,0,0.59341492,0.05920323
4540.000000,0.591055,0.61751042,0.06127519,0,0,not_needed,0,0,bragg,auto_sparse,4460.000000,0.613944,0,0,0,voigt,voigt,0,0.59105507,0.05765431
4550.000000,0.588232,0.62163154,0.06143164,0,0,not_needed,0,0,bragg,auto_sparse,4470.000000,0.610671,0,0,0,voigt,voigt,0,0.58823233,0.05840158
4560.000000,0.585023,0.62529764,0.06424517,0,0,not_needed,0,0,bragg,auto_sparse,4480.000000,0.607785,0,0,0,voigt,voigt,0,0.58502321,0.06113287
4570.000000,0.582754,0.62598742,0.06090157,0,0,not_needed,0,0,bragg,auto_sparse,4490.000000,0.605431,0,0,0,voigt,voigt,0,0.58275391,0.05869128
4580.000000,0.580155,0.62621175,0.06118728,0,0,not_needed,0,0,bragg,auto_sparse,4500.000000,0.602413,0,0,0,voigt,voigt,0,0.58015501,0.05708184
