energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
510.0,13.87004182949011,-12,3.286408677867437e-08,25.732654366730173,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-11,1.3377631315868114e-08,24.951653194395533,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-10,1.6563960029399368e-08,24.147068284498232,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-9,1.241355708926993e-07,23.316449942886052,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-8,5.638996651159989e-08,22.456900992190796,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-7,1.02845880260398e-07,21.564953371016827,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-6,9.384426938698989e-07,20.6363972279795,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-5,5.043611984773741e-07,19.666038049204275,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-4,3.432594436971604e-06,18.647340916003373,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-3,0.00012191567693861852,17.571890303596433,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-2,0.0057748065863780645,16.428533058909352,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,-1,4.6428165570063034e-05,15.201942772407449,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,0,9.963654162987779e-06,13.870041829490106,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,1,2.2366915114075264e-08,12.39892434368005,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,2,1.84710478108685e-05,10.731472308732265,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,3,6.23320032691231e-05,8.75621050692935,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,4,8.16755471075331e-05,6.184912622554549,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,5,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,6,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
