energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
700.0,9.733415994764002,6,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,7,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,8,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,9,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,10,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,11,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,12,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,13,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,14,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,15,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,16,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,17,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,18,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,19,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,20,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,21,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,22,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,23,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,24,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
700.0,9.733415994764002,25,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,9.733415994764002,0.4721535422207978
900.0,7.349243158055156,-25,2.411852112215437e-09,24.614389128419404,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,7.349243158055156,0.3069676281954974
900.0,7.349243158055156,-24,3.565188223854948e-10,24.155576539887605,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.183552179744003,1,0,0,voigt,voigt,0,7.349243158055156,0.3069676281954974
